,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,OWN_AUTO,GEN_INDUSTRY,GEN_TITLE,JOB_DIR,WORK_TIME,FAMILY_INCOME,PERSONAL_INCOME,FACT_FO,TARGET
4202,35,0,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,Другие сферы,Специалист,Участие в основ. деятельности,192.0,от 10000 до 20000 руб.,17000.0,СФО,0
4203,45,1,Среднее,Состою в браке,2,0,1,0,1,0,Другие сферы,Рабочий,Участие в основ. деятельности,96.0,от 5000 до 10000 руб.,4700.0,ПФО,0
4205,27,1,Неоконченное высшее,Разведен(а),1,1,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,48.0,от 5000 до 10000 руб.,10000.0,ПФО,0
4206,31,0,Высшее,Состою в браке,2,2,1,0,0,1,Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,96.0,от 20000 до 50000 руб.,30000.0,УФО,0
4207,30,0,Среднее,Состою в браке,1,1,1,0,0,1,Строительство,Специалист,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,40000.0,СЗФО,1
4208,24,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,Коммунальное хоз-во/Дорожные службы,Рабочий,Адм-хоз. и трансп. службы,2.0,от 5000 до 10000 руб.,10000.0,СЗФО,0
4209,27,1,Неполное среднее,Состою в браке,1,1,1,0,0,0,Торговля,Руководитель высшего звена,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,5000.0,СФО,0
4210,30,0,Среднее,Состою в браке,2,2,1,0,0,1,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,20.0,от 10000 до 20000 руб.,14000.0,ЦФО,0
4211,37,1,Высшее,Разведен(а),0,0,1,0,0,1,Другие сферы,Специалист,Юридическая служба,40.0,от 20000 до 50000 руб.,23000.0,СФО,0
4212,24,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,0,1,Государственная служба,Специалист,Участие в основ. деятельности,36.0,от 10000 до 20000 руб.,10000.0,ПФО,0
4214,43,1,Среднее,Состою в браке,2,2,1,0,1,0,Торговля,Специалист,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,8000.0,СФО,0
4215,51,0,Среднее,Состою в браке,0,0,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Вспомогательный техперсонал,312.0,свыше 50000 руб.,30000.0,УФО,0
4216,29,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,Другие сферы,Служащий,Участие в основ. деятельности,24.0,от 5000 до 10000 руб.,8000.0,СФО,0
4217,42,0,Высшее,Состою в браке,2,2,1,0,0,0,Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,8.0,от 20000 до 50000 руб.,16000.0,ЦФО,0
4218,31,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,6.0,от 10000 до 20000 руб.,9500.0,ЦФО,0
4220,22,1,Неоконченное высшее,Не состоял в браке,0,0,1,0,0,0,СМИ/Реклама/PR-агенства,Специалист,Реклама и маркетинг,8.0,от 20000 до 50000 руб.,9000.0,СЗФО,0
4221,51,1,Среднее специальное,Состою в браке,1,0,1,1,0,0,Сельское хозяйство,Специалист,"Бухгалтерия, финансы, планир.",214.0,от 20000 до 50000 руб.,17000.0,ДФО,0
4222,45,1,Высшее,Состою в браке,1,1,1,0,0,0,Государственная служба,Руководитель высшего звена,"Бухгалтерия, финансы, планир.",108.0,от 20000 до 50000 руб.,14000.0,ПФО,0
4223,51,0,Среднее специальное,Состою в браке,0,0,1,0,1,0,Другие сферы,Специалист,Участие в основ. деятельности,156.0,от 20000 до 50000 руб.,15000.0,ЦФО,0
4224,35,0,Среднее,Не состоял в браке,0,0,1,0,0,0,Образование,Специалист,Участие в основ. деятельности,108.0,от 10000 до 20000 руб.,5000.0,ПФО,0
4225,58,0,Среднее специальное,Не состоял в браке,2,0,1,0,0,0,Металлургия/Промышленность/Машиностроение,Руководитель среднего звена,Участие в основ. деятельности,7.0,от 20000 до 50000 руб.,8000.0,ЦФО,1
4226,30,1,Высшее,Состою в браке,1,1,1,0,0,0,Образование,Специалист,Участие в основ. деятельности,120.0,от 10000 до 20000 руб.,11000.0,ПФО,1
4227,51,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Здравоохранение,Специалист,Участие в основ. деятельности,372.0,от 10000 до 20000 руб.,16000.0,УФО,0
4228,23,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,8.0,от 20000 до 50000 руб.,23000.0,СЗФО,0
4230,44,1,Среднее специальное,Состою в браке,3,0,1,0,0,0,Здравоохранение,Специалист,Участие в основ. деятельности,96.0,от 20000 до 50000 руб.,12000.0,СФО,0
4231,54,1,Среднее специальное,Состою в браке,3,0,1,0,0,1,Торговля,Индивидуальный предприниматель,Участие в основ. деятельности,72.0,от 20000 до 50000 руб.,30000.0,УФО,1
4232,43,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Другие сферы,Специалист,Участие в основ. деятельности,6.0,от 10000 до 20000 руб.,12000.0,ЦФО,0
4233,48,0,Среднее специальное,Состою в браке,1,0,1,0,0,0,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,228.0,от 20000 до 50000 руб.,20000.0,СФО,0
4234,43,0,Высшее,Состою в браке,0,0,1,0,1,0,Государственная служба,Специалист,Участие в основ. деятельности,96.0,от 20000 до 50000 руб.,23000.0,СФО,1
4235,45,1,Среднее специальное,Состою в браке,1,1,1,0,1,1,Торговля,Специалист,Участие в основ. деятельности,84.0,от 10000 до 20000 руб.,10000.0,СФО,0
4236,55,1,Среднее специальное,Состою в браке,2,0,1,0,1,0,Развлечения/Искусство,Рабочий,Участие в основ. деятельности,252.0,от 5000 до 10000 руб.,6000.0,ЦФО,0
4237,33,1,Среднее специальное,Состою в браке,3,3,1,0,1,0,Государственная служба,Руководитель высшего звена,Кадровая служба и секретариат,144.0,от 20000 до 50000 руб.,17000.0,СФО,1
4238,42,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Транспорт,Специалист,Участие в основ. деятельности,84.0,от 10000 до 20000 руб.,10000.0,ЮФО,0
4239,53,0,Высшее,Разведен(а),0,0,1,0,0,1,Государственная служба,Специалист,Участие в основ. деятельности,27.0,от 10000 до 20000 руб.,20000.0,ЮФО,1
4240,24,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Строительство,Специалист,Участие в основ. деятельности,40.0,от 20000 до 50000 руб.,20000.0,ПФО,0
4241,35,1,Среднее,Состою в браке,1,1,1,0,0,1,Торговля,Специалист,Участие в основ. деятельности,36.0,от 10000 до 20000 руб.,8100.0,СКФО,0
4242,30,0,Высшее,Состою в браке,1,1,1,0,0,0,Торговля,Руководитель среднего звена,Участие в основ. деятельности,4.0,свыше 50000 руб.,35000.0,ДФО,0
4243,25,0,Среднее,Состою в браке,1,1,1,0,0,0,Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,14000.0,СФО,0
4244,48,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Другие сферы,Другое,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,27000.0,УФО,0
4245,38,1,Среднее специальное,Состою в браке,1,0,1,0,1,0,Торговля,Работник сферы услуг,Участие в основ. деятельности,15.0,от 20000 до 50000 руб.,18000.0,СЗФО,0
4246,40,1,Высшее,Состою в браке,2,1,1,0,0,0,Другие сферы,Специалист,"Бухгалтерия, финансы, планир.",328.0,от 10000 до 20000 руб.,14000.0,СФО,1
4247,30,1,Среднее специальное,Гражданский брак,0,0,1,0,0,0,Торговля,Руководитель среднего звена,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,8000.0,ЦФО,0
4248,44,1,Среднее специальное,Не состоял в браке,1,0,1,0,0,0,Торговля,Руководитель среднего звена,Участие в основ. деятельности,180.0,от 20000 до 50000 руб.,15000.0,ЦФО,0
4249,26,1,Высшее,Не состоял в браке,0,0,1,0,1,0,Образование,Специалист,Участие в основ. деятельности,24.0,от 20000 до 50000 руб.,35000.0,УФО,1
4250,44,1,Среднее специальное,Состою в браке,2,0,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,6.0,от 10000 до 20000 руб.,6000.0,ЮФО,0
4251,29,0,Неоконченное высшее,Состою в браке,0,0,1,0,0,1,Другие сферы,Специалист,Участие в основ. деятельности,48.0,свыше 50000 руб.,42000.0,СЗФО,0
4252,47,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Торговля,Руководитель высшего звена,Участие в основ. деятельности,96.0,от 20000 до 50000 руб.,20000.0,СФО,0
4253,54,1,Среднее специальное,Состою в браке,2,0,1,0,1,1,Другие сферы,Специалист,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,30000.0,ДФО,0
4254,27,0,Среднее,Состою в браке,0,0,1,0,0,1,Сельское хозяйство,Рабочий,Адм-хоз. и трансп. службы,36.0,от 10000 до 20000 руб.,13000.0,СКФО,0
4255,49,1,Высшее,Состою в браке,1,1,1,0,0,0,Государственная служба,Руководитель высшего звена,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,23000.0,ДФО,1
4256,24,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Транспорт,Специалист,Участие в основ. деятельности,9.0,от 10000 до 20000 руб.,15000.0,СФО,1
4257,26,1,Высшее,Состою в браке,1,1,1,0,0,0,Государственная служба,Специалист,Участие в основ. деятельности,24.0,от 20000 до 50000 руб.,6500.0,ЮФО,1
4258,53,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,Информационные услуги,Специалист,Участие в основ. деятельности,240.0,от 5000 до 10000 руб.,9000.0,СФО,1
4259,29,1,Среднее,Состою в браке,1,1,1,0,0,1,Информационные технологии,Специалист,Участие в основ. деятельности,36.0,от 5000 до 10000 руб.,8000.0,СЗФО,0
4260,35,0,Высшее,Состою в браке,2,2,1,0,1,0,Государственная служба,Специалист,Участие в основ. деятельности,5.0,от 20000 до 50000 руб.,20000.0,СФО,0
4262,31,1,Среднее специальное,Состою в браке,2,2,1,0,1,0,Нефтегазовая промышленность,Руководитель среднего звена,Адм-хоз. и трансп. службы,93.0,от 20000 до 50000 руб.,14000.0,ПФО,0
4263,27,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Образование,Работник сферы услуг,Участие в основ. деятельности,96.0,от 20000 до 50000 руб.,14000.0,ЮФО,0
4264,37,0,Неполное среднее,Разведен(а),1,1,1,0,1,0,Торговля,Рабочий,Участие в основ. деятельности,7.0,от 5000 до 10000 руб.,5500.0,СФО,1
4265,41,0,Среднее,Состою в браке,3,3,1,0,0,0,Строительство,Служащий,Вспомогательный техперсонал,192.0,от 5000 до 10000 руб.,7000.0,ПФО,0
4266,55,0,Среднее специальное,Состою в браке,2,0,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,360.0,от 20000 до 50000 руб.,35000.0,СФО,0
4267,31,1,Высшее,Не состоял в браке,1,1,1,0,1,0,Банк/Финансы,Специалист,"Бухгалтерия, финансы, планир.",132.0,от 10000 до 20000 руб.,16000.0,ПФО,1
4268,34,1,Среднее специальное,Разведен(а),1,1,1,0,1,0,Другие сферы,Рабочий,Участие в основ. деятельности,30.0,от 10000 до 20000 руб.,12000.0,ЦФО,0
4269,33,0,Среднее,Состою в браке,2,2,1,0,0,0,Образование,Рабочий,Участие в основ. деятельности,36.0,от 10000 до 20000 руб.,7800.0,ПФО,0
4270,27,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,12.0,от 10000 до 20000 руб.,4500.0,ПФО,0
4272,45,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,18.0,от 10000 до 20000 руб.,6000.0,ЮФО,0
4273,29,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,20000.0,СФО,0
4274,40,1,Высшее,Не состоял в браке,2,1,1,0,0,0,Другие сферы,Руководитель среднего звена,Участие в основ. деятельности,36.0,от 10000 до 20000 руб.,12000.0,СФО,0
4275,50,0,Среднее,Состою в браке,0,0,1,0,0,0,Другие сферы,Рабочий,Участие в основ. деятельности,60.0,от 20000 до 50000 руб.,20000.0,ДФО,0
4277,55,0,Среднее,Состою в браке,0,0,1,0,0,0,Строительство,Рабочий,Участие в основ. деятельности,348.0,от 10000 до 20000 руб.,11000.0,СЗФО,0
4278,43,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,ЧОП/Детективная д-ть,Служащий,Служба безопасности,96.0,от 20000 до 50000 руб.,16000.0,СФО,1
4279,26,0,Высшее,Не состоял в браке,0,0,1,0,0,0,Государственная служба,Специалист,Участие в основ. деятельности,37.0,от 10000 до 20000 руб.,15000.0,УФО,0
4280,41,0,Среднее специальное,Состою в браке,3,3,1,0,1,0,Транспорт,Индивидуальный предприниматель,Участие в основ. деятельности,132.0,свыше 50000 руб.,50000.0,СФО,0
4281,24,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Химия/Парфюмерия/Фармацевтика,Специалист,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,20000.0,СФО,1
4283,33,0,Среднее специальное,Разведен(а),0,0,1,0,0,0,Государственная служба,Рабочий,Участие в основ. деятельности,228.0,от 10000 до 20000 руб.,10000.0,ПФО,0
4285,39,0,Среднее,Состою в браке,1,0,1,0,0,1,Транспорт,Рабочий,Участие в основ. деятельности,12.0,от 10000 до 20000 руб.,8000.0,УФО,0
4286,24,0,Среднее,Не состоял в браке,0,0,1,0,0,0,Государственная служба,Специалист,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,18000.0,СФО,0
4287,28,1,Среднее,Состою в браке,2,2,1,0,1,0,Образование,Служащий,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,12000.0,УФО,0
4288,35,1,Высшее,Состою в браке,0,0,1,0,1,0,Информационные услуги,Руководитель высшего звена,Участие в основ. деятельности,60.0,от 20000 до 50000 руб.,15000.0,ЦФО,0
4289,45,1,Среднее,Разведен(а),3,1,1,0,1,0,Образование,Специалист,Участие в основ. деятельности,204.0,от 5000 до 10000 руб.,6000.0,СФО,0
4290,41,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,36.0,от 10000 до 20000 руб.,10000.0,ПФО,0
4292,37,0,Высшее,Вдовец/Вдова,2,2,1,0,0,0,Строительство,Другое,Участие в основ. деятельности,18.0,от 10000 до 20000 руб.,12000.0,СФО,0
4293,33,0,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,Строительство,Специалист,Участие в основ. деятельности,96.0,от 20000 до 50000 руб.,17000.0,СЗФО,0
4294,48,0,Высшее,Состою в браке,3,1,1,0,0,1,Другие сферы,Специалист,Участие в основ. деятельности,24.0,от 20000 до 50000 руб.,28000.0,ДФО,0
4295,42,1,Высшее,Состою в браке,2,1,1,0,1,0,Государственная служба,Специалист,Участие в основ. деятельности,18.0,от 20000 до 50000 руб.,12800.0,СФО,1
4297,26,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Здравоохранение,Рабочий,Участие в основ. деятельности,48.0,от 20000 до 50000 руб.,8000.0,ПФО,0
4298,28,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,Торговля,Специалист,Участие в основ. деятельности,60.0,от 10000 до 20000 руб.,8000.0,СФО,0
4299,22,0,Среднее специальное,Не состоял в браке,0,0,1,0,1,1,Наука,Руководитель среднего звена,Участие в основ. деятельности,49.0,от 10000 до 20000 руб.,9000.0,ПФО,0
4300,61,1,Среднее специальное,Разведен(а),2,0,1,0,1,0,Другие сферы,Рабочий,Вспомогательный техперсонал,216.0,от 20000 до 50000 руб.,15000.0,ЦФО,0
4301,37,1,Среднее специальное,Не состоял в браке,1,1,1,0,0,0,Образование,Рабочий,Участие в основ. деятельности,60.0,от 10000 до 20000 руб.,10700.0,ЮФО,0
4302,53,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,60.0,от 10000 до 20000 руб.,7000.0,ЮФО,0
4305,41,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Государственная служба,Специалист,Участие в основ. деятельности,36.0,от 10000 до 20000 руб.,14000.0,ЦФО,0
4306,38,1,Высшее,Состою в браке,2,2,1,0,0,0,Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,108.0,от 20000 до 50000 руб.,20000.0,УФО,0
4307,62,0,Среднее специальное,Состою в браке,0,0,1,1,1,0,Другие сферы,Специалист,Участие в основ. деятельности,48.0,от 20000 до 50000 руб.,21000.0,ДФО,0
4308,54,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,Коммунальное хоз-во/Дорожные службы,Высококвалифиц. специалист,Участие в основ. деятельности,228.0,от 10000 до 20000 руб.,15000.0,ЦФО,0
4309,40,0,Среднее специальное,Состою в браке,1,1,1,0,0,1,Образование,Специалист,Участие в основ. деятельности,288.0,от 20000 до 50000 руб.,20000.0,СФО,0
4310,23,0,Среднее специальное,Состою в браке,0,1,1,0,0,1,Транспорт,Рабочий,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,24000.0,СФО,0
4311,41,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,Туризм,Специалист,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,30000.0,ЮФО,0
4312,30,0,Высшее,Состою в браке,1,1,1,0,0,0,Другие сферы,Специалист,Участие в основ. деятельности,60.0,от 20000 до 50000 руб.,20000.0,СЗФО,0
4313,50,1,Неоконченное высшее,Не состоял в браке,0,0,1,0,1,0,Банк/Финансы,Специалист,Участие в основ. деятельности,6.0,от 20000 до 50000 руб.,15500.0,ЦФО,1
4314,47,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Наука,Специалист,Участие в основ. деятельности,204.0,от 10000 до 20000 руб.,8000.0,ДФО,0
4315,24,0,Высшее,Не состоял в браке,0,0,1,0,1,0,Торговля,Высококвалифиц. специалист,Участие в основ. деятельности,6.0,от 20000 до 50000 руб.,20000.0,ПФО,0
4316,22,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,Транспорт,Специалист,Кадровая служба и секретариат,13.0,от 10000 до 20000 руб.,12000.0,СФО,0
4317,48,0,Среднее,Состою в браке,1,0,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,60.0,от 10000 до 20000 руб.,14500.0,СФО,1
4318,50,1,Среднее,Состою в браке,0,0,1,0,0,0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,300.0,от 10000 до 20000 руб.,5700.0,ЦФО,0
4319,47,1,Среднее специальное,Состою в браке,2,1,1,0,0,0,Другие сферы,Рабочий,Участие в основ. деятельности,120.0,от 10000 до 20000 руб.,8000.0,ЦФО,0
4320,26,0,Высшее,Не состоял в браке,0,0,1,0,0,0,Здравоохранение,Специалист,Участие в основ. деятельности,4.0,от 10000 до 20000 руб.,11000.0,ДФО,0
4321,39,1,Среднее,Состою в браке,1,0,1,0,1,0,Ресторанный бизнес/Общественное питание,Рабочий,Участие в основ. деятельности,84.0,от 20000 до 50000 руб.,7000.0,ПФО,0
4322,47,0,Среднее специальное,Состою в браке,0,0,1,0,0,1,Торговля,Рабочий,Участие в основ. деятельности,60.0,от 20000 до 50000 руб.,15600.0,СФО,0
4323,33,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,Строительство,Специалист,Участие в основ. деятельности,78.0,от 20000 до 50000 руб.,14000.0,ЦФО,0
4324,28,0,Среднее,Состою в браке,0,0,1,0,0,0,Сельское хозяйство,Руководитель низшего звена,Участие в основ. деятельности,30.0,от 20000 до 50000 руб.,16000.0,ЮФО,0
4325,25,1,Неоконченное высшее,Состою в браке,1,1,1,0,0,0,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,60.0,от 10000 до 20000 руб.,10000.0,ЮФО,1
4326,23,1,Неоконченное высшее,Не состоял в браке,0,0,1,0,0,0,Другие сферы,Специалист,Участие в основ. деятельности,18.0,от 20000 до 50000 руб.,16000.0,УФО,0
4327,27,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Другие сферы,Рабочий,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,25000.0,СФО,0
4328,54,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,Строительство,Рабочий,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,20000.0,УФО,0
4329,57,0,Высшее,Не состоял в браке,1,1,1,1,0,0,Образование,Высококвалифиц. специалист,Участие в основ. деятельности,432.0,от 10000 до 20000 руб.,15000.0,ПФО,0
4330,51,1,Среднее специальное,Состою в браке,2,0,1,0,0,0,Государственная служба,Специалист,Участие в основ. деятельности,324.0,от 20000 до 50000 руб.,15000.0,СФО,0
4331,32,1,Высшее,Состою в браке,0,0,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,11.0,от 20000 до 50000 руб.,15000.0,СЗФО,0
4332,32,0,Высшее,Состою в браке,0,0,1,0,0,1,Строительство,Специалист,Участие в основ. деятельности,4.0,от 20000 до 50000 руб.,25000.0,СФО,0
4334,33,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,Другие сферы,Специалист,"Бухгалтерия, финансы, планир.",3.0,от 20000 до 50000 руб.,15000.0,СЗФО,0
4335,22,1,Неоконченное высшее,Не состоял в браке,0,0,1,0,0,0,Информационные услуги,Специалист,Участие в основ. деятельности,7.0,от 10000 до 20000 руб.,15000.0,УФО,1
4336,27,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Торговля,Работник сферы услуг,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,5000.0,СФО,0
4337,56,0,Среднее специальное,Состою в браке,3,1,1,0,0,0,Сельское хозяйство,Индивидуальный предприниматель,Участие в основ. деятельности,220.0,от 10000 до 20000 руб.,8000.0,СКФО,0
4338,33,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Сельское хозяйство,Специалист,Вспомогательный техперсонал,6.0,от 10000 до 20000 руб.,7000.0,СФО,0
4339,47,1,Среднее специальное,Разведен(а),2,0,1,0,0,0,Здравоохранение,Специалист,Участие в основ. деятельности,312.0,от 10000 до 20000 руб.,9000.0,ПФО,0
4341,40,1,Высшее,Состою в браке,1,0,1,0,0,1,Другие сферы,Руководитель среднего звена,Участие в основ. деятельности,72.0,от 20000 до 50000 руб.,25000.0,СЗФО,0
4342,38,1,Среднее специальное,Состою в браке,1,2,1,0,0,0,Другие сферы,Специалист,Участие в основ. деятельности,48.0,от 20000 до 50000 руб.,15000.0,ДФО,0
4343,43,0,Неоконченное высшее,Состою в браке,2,2,1,0,0,0,Ресторанный бизнес/Общественное питание,Высококвалифиц. специалист,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,20000.0,ДФО,1
4344,47,1,Высшее,Состою в браке,2,0,1,0,0,0,Торговля,Руководитель высшего звена,Участие в основ. деятельности,120.0,от 20000 до 50000 руб.,25000.0,ПФО,0
4345,28,0,Высшее,Состою в браке,1,1,1,0,0,0,Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,59.0,от 20000 до 50000 руб.,23000.0,СФО,0
4348,23,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,0,0,Сборочные производства,Рабочий,Участие в основ. деятельности,48.0,от 20000 до 50000 руб.,25000.0,ЮФО,0
4349,42,0,Среднее,Состою в браке,2,2,1,0,0,0,Другие сферы,Специалист,Участие в основ. деятельности,156.0,от 10000 до 20000 руб.,13000.0,СФО,0
4350,31,1,Высшее,Состою в браке,1,1,1,0,0,1,Государственная служба,Специалист,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,18000.0,УФО,0
4352,60,0,Среднее,Состою в браке,0,0,1,0,0,0,Другие сферы,Рабочий,Адм-хоз. и трансп. службы,391.0,от 20000 до 50000 руб.,15000.0,ЮФО,0
4353,39,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Образование,Специалист,Участие в основ. деятельности,240.0,от 10000 до 20000 руб.,12000.0,ПФО,0
4354,33,1,Высшее,Разведен(а),1,1,1,0,1,0,Другие сферы,Рабочий,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,8000.0,ЦФО,0
4355,32,1,Среднее специальное,Разведен(а),1,1,1,0,0,0,Транспорт,Специалист,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,20000.0,ДФО,0
4356,42,0,Высшее,Разведен(а),4,4 и более,1,0,1,0,Другие сферы,Рабочий,Вспомогательный техперсонал,24.0,от 10000 до 20000 руб.,10000.0,ПФО,0
4357,37,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Коммунальное хоз-во/Дорожные службы,Специалист,Вспомогательный техперсонал,6.0,от 10000 до 20000 руб.,10000.0,СФО,0
4358,39,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,Торговля,Специалист,Участие в основ. деятельности,36.0,от 10000 до 20000 руб.,10000.0,ЦФО,0
4361,40,0,Среднее специальное,Состою в браке,2,2,1,0,1,1,Здравоохранение,Служащий,Участие в основ. деятельности,216.0,от 20000 до 50000 руб.,16000.0,СФО,0
4362,24,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,Другие сферы,Рабочий,Участие в основ. деятельности,40.0,от 20000 до 50000 руб.,10000.0,ПФО,0
4363,49,1,Среднее,Вдовец/Вдова,2,0,1,0,0,0,Развлечения/Искусство,Рабочий,Вспомогательный техперсонал,132.0,от 5000 до 10000 руб.,5500.0,СФО,0
4364,38,0,Среднее,Состою в браке,1,1,1,0,0,1,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,10000.0,ЮФО,0
4366,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,Торговля,Руководитель среднего звена,Участие в основ. деятельности,72.0,от 20000 до 50000 руб.,35000.0,СКФО,0
4367,24,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,1,0,Торговля,Специалист,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,15000.0,ЦФО,0
4368,43,0,Высшее,Состою в браке,0,0,1,0,0,0,Торговля,Индивидуальный предприниматель,Участие в основ. деятельности,156.0,от 20000 до 50000 руб.,17000.0,СКФО,0
4370,52,1,Высшее,Состою в браке,0,0,1,0,1,0,Сельское хозяйство,Руководитель среднего звена,Участие в основ. деятельности,12.0,от 10000 до 20000 руб.,15000.0,ЦФО,0
4371,35,1,Среднее специальное,Состою в браке,2,2,1,0,1,0,Государственная служба,Специалист,Участие в основ. деятельности,36.0,от 20000 до 50000 руб.,20000.0,СЗФО,0
4372,26,0,Среднее,Состою в браке,0,0,1,0,0,1,Торговля,Рабочий,Участие в основ. деятельности,12.0,от 20000 до 50000 руб.,30000.0,ЦФО,0
4373,47,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,Транспорт,Рабочий,Участие в основ. деятельности,240.0,от 20000 до 50000 руб.,15000.0,ПФО,0
4374,34,1,Среднее специальное,Состою в браке,1,1,1,0,0,1,Сельское хозяйство,Специалист,Участие в основ. деятельности,24.0,от 10000 до 20000 руб.,8500.0,УФО,0
4375,37,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,Здравоохранение,Рабочий,Участие в основ. деятельности,48.0,свыше 50000 руб.,22000.0,УФО,0
